"Quantity","Value","Name","RefDes"
"2","2.2UF","C-EUC0603 (C-EU)","C1, C8"
"2","18PF","C-EUC0603 (C-EU)","C2, C3"
"7","10UF","C-EU-POL_4D (C-EU-POL)","C4, C17, C19, C20, C28, C29, C30"
"33","100NF","C-EUC0603 (C-EU)","C5, C6, C7, C11, C13, C15, C16, C18, C21, C22, C23, C26, C31, C32, C33, C37, C40, C44, C48, C51, C53, C55, C56, C61, C62, C63, C66, C70, C71, C72, C73, C75, C78"
"6","47PF","C-EUC0603 (C-EU)","C9, C12, C24, C25, C64, C65"
"2","220PF","C-EUC0603 (C-EU)","C10, C14"
"4","10UF","C-EUC0805 (C-EU)","C27, C35, C36, C50"
"8","560PF","C-EUC0603 (C-EU)","C34, C39, C45, C46, C47, C49, C52, C54"
"2","470NF","C-EUC0603 (C-EU)","C38, C41"
"2","18p","C-USC0603","C42, C43"
"9","10NF","C-EUC0603 (C-EU)","C57, C58, C59, C60, C67, C68, C69, C74, C76"
"1","1NF","C-EUC0603 (C-EU)","C77"
"1","","MB1S","D1"
"2","FB","FERRITE_BEAD_0603 (FERRITE_BEAD)","FB1, FB2"
"3","Eurorack Jack","EURO_JACKS_SMALL_SILK (EURO_JACK)","J_AUX, J_HOLD, J_TRIG"
"16","Eurorack Jack","EURO_JACKS_SILK (EURO_JACK)","J_DENS, J_FDBK, J_I-LVL, J_LIN, J_LOUT, J_MIX, J_O-LVL, J_PAN, J_PITCH, J_POSI, J_RIN, J_ROUT, J_SIZE, J_TEXT, J_VERB, J_VOCT"
"1","","M04PTH","JP1"
"10","3mm Yellow Diffused","LED_SILK (LED)","LED_A, LED_B, LED_C, LED_D, LED_IN3, LED_OUT3, LED_T1, LED_T2, LED_T3, LED_T4"
"4","3mm Green Diffused","LED_SILK (LED)","LED_IN1, LED_IN2, LED_OUT1, LED_OUT2"
"2","3mm Red Diffused","LED_SILK (LED)","LED_IN4, LED_OUT4"
"1","M05X2PTH","M05X2PTH","P1"
"1","Mini JTAG Header","M05X2MINIJTAG (M05X2)","P2"
"1","12.288MHz","TXC 7A crystal","Q1"
"1","8MHz","TXC 7A crystal","Q2"
"2","MMBT3904","-NPN-MMBT3904LT1SOT23-BEC (*-NPN-)","Q3, Q4"
"5","100R","R-US_R0603 (R-US_)","R1, R2, R7, R8, R75"
"14","1K","R-US_R0603 (R-US_)","R3, R4, R5, R6, R39, R42, R44, R46, R47, R48, R49, R50, R90, R91"
"2","2K","R-US_R0603 (R-US_)","R9, R11"
"6","10K","R-US_R0603 (R-US_)","R10, R13, R14, R16, R17, R21"
"2","5K1","R-US_R0603 (R-US_)","R12, R15"
"5","22K","R-US_R0603 (R-US_)","R18, R20, R29, R30, R34"
"10","510R","R-US_R0603 (R-US_)","R19, R22, R23, R26, R27, R32, R33, R35, R37, R67"
"3","1M","R-US_R0603 (R-US_)","R24, R41, R71"
"2","39K","R-US_R0603 (R-US_)","R25, R31"
"2","49K9","R-US_R0603 (R-US_)","R28, R36"
"23","100K","R-US_R0603 (R-US_)","R38, R40, R43, R45, R51, R52, R61, R62, R63, R64, R65, R66, R68, R70, R73, R74, R82, R86, R87, R92, R93, R95, R97"
"12","200K","R-US_R0603 (R-US_)","R53, R55, R56, R57, R69, R72, R76, R77, R78, R83, R85, R94"
"9","33K","R-US_R0603 (R-US_)","R54, R58, R59, R60, R79, R80, R81, R84, R88"
"1","180K","R-US_R0603 (R-US_)","R89"
"1","47K","R-US_R0603 (R-US_)","R96"
"4","1.0k","R-US_R0402 (R-US_)","R98, R99, R100, R101"
"5","Mini Button","TAC_SWITCHTACTILE_PTH_SILK (TAC_SWITCH)","S_BANK, S_MUTE_INS, S_MUTE_OUTS, S_TIME, S_TRIG"
"1","LED Button White","LED_BUTTONLED_BUTTON_SILK (LED_BUTTON)","S_HOLD"
"1","STM32F427VIT6","STM32F4XXV2","U1"
"1","","WM8731","U2"
"2","TL074","TL074_SO-14 (TL074)","U3, U16"
"2","LD1117-3V3","LD1117-3V3 (LD1117)","U4, U10"
"2","2164","SSI2164","U5, U9"
"1","LM4040-2V5","LM4041DBZA12 (LM4041)","U6"
"2","LM4040-10V","LM4041DBZA12 (LM4041)","U7, U13"
"1","4051","4051_MUX","U8"
"5","","MCP6002","U11, U12, U15, U17, U18"
"1","TL072","TL072_SO-8 (TL072)","U14"
"2","","TLE2172","U19, U20"
"4","","bourns PTL LED slide pot ","VR_DENS, VR_POSI, VR_SIZE, VR_TEXT"
"7","P-10K-B","POT_9MM_SNAP-IN__ (POT_9MM_SNAP-IN_)","VR_FDBK, VR_IN, VR_MIX, VR_OUT, VR_PAN, VR_PITCH, VR_VERB"
