RefDes,Name,Pattern,X (mil),Y (mil),Side,Rotate,Value
C1,C-EUC0603 (C-EU),CAP_0603,1022.97,3805.91,Top,270,2.2UF
C2,C-EUC0603 (C-EU),CAP_0603,2193,3803.57,Top,270,18PF
C3,C-EUC0603 (C-EU),CAP_0603,2269.73,3803.57,Top,270,18PF
C4,C-EU-POL_4D (C-EU-POL),EC-4X7,2572.5,3618.9,Top,0,10UF
C5,C-EUC0603 (C-EU),CAP_0603,785,3708.46,Top,180,100NF
C6,C-EUC0603 (C-EU),CAP_0603,1626.99,3651.23,Top,0,100NF
C7,C-EUC0603 (C-EU),CAP_0603,1930.96,3650,Top,180,100NF
C8,C-EUC0603 (C-EU),CAP_0603,1629.4,3575.12,Top,180,2.2UF
C9,C-EUC0603 (C-EU),CAP_0603,2953.91,3592.08,Top,0,47PF
C10,C-EUC0603 (C-EU),CAP_0603,3097.5,3550,Top,180,220PF
C11,C-EUC0603 (C-EU),CAP_0603,509,3521.56,Top,0,100NF
C12,C-EUC0603 (C-EU),CAP_0603,2589.04,3425,Top,0,47PF
C13,C-EUC0603 (C-EU),CAP_0603,1840.49,3339.38,Top,270,100NF
C14,C-EUC0603 (C-EU),CAP_0603,2439.04,3364.4,Top,180,220PF
C15,C-EUC0603 (C-EU),CAP_0603,3098.74,3362.5,Top,180,100NF
C16,C-EUC0603 (C-EU),CAP_0603,2589.04,3325,Top,180,100NF
C17,C-EU-POL_4D (C-EU-POL),EC-4X7,1810,3118.6,Top,0,10UF
C18,C-EUC0603 (C-EU),CAP_0603,47.5,3183.46,Top,90,100NF
C19,C-EU-POL_4D (C-EU-POL),EC-4X7,2235,3058,Top,0,10UF
C20,C-EU-POL_4D (C-EU-POL),EC-4X7,2460,3058,Top,0,10UF
C21,C-EUC0603 (C-EU),CAP_0603,1632.35,3167.91,Top,0,100NF
C22,C-EUC0603 (C-EU),CAP_0603,335,3108.46,Top,270,100NF
C23,C-EUC0603 (C-EU),CAP_0603,2089.04,3114.4,Top,180,100NF
C24,C-EUC0603 (C-EU),CAP_0603,2822.5,3112.5,Top,180,47PF
C25,C-EUC0603 (C-EU),CAP_0603,3097.5,3112.5,Top,180,47PF
C26,C-EUC0603 (C-EU),CAP_0603,814.04,3075,Top,180,100NF
C27,C-EUC0805 (C-EU),C0805,672.5,3025.1,Top,270,10UF
C28,C-EU-POL_4D (C-EU-POL),EC-4X7,2097.5,2870.22,Top,0,10UF
C29,C-EU-POL_4D (C-EU-POL),EC-4X7,835,2868.6,Top,0,10UF
C30,C-EU-POL_4D (C-EU-POL),EC-4X7,1735,2856.1,Top,0,10UF
C31,C-EUC0603 (C-EU),CAP_0603,1507.02,2975.53,Top,0,100NF
C32,C-EUC0603 (C-EU),CAP_0603,1051.54,2975,Top,180,100NF
C33,C-EUC0603 (C-EU),CAP_0603,1330.96,2975,Top,0,100NF
C34,C-EUC0603 (C-EU),CAP_0603,1910,2950,Top,180,560PF
